,names,value
0,02 L'Air du Desert Marocain Tauer Perfumes,aromatic
1,02 L'Air du Desert Marocain Tauer Perfumes,amber
2,02 L'Air du Desert Marocain Tauer Perfumes,woody
3,4711 Original Eau de Cologne 4711,citrus
4,4711 Original Eau de Cologne 4711,aromatic
5,4711 Original Eau de Cologne 4711,fresh spicy
6,Absolute Aphrodisiac Initio Parfums Prives,leather
7,Absolute Aphrodisiac Initio Parfums Prives,amber
8,Absolute Aphrodisiac Initio Parfums Prives,vanilla
9,Acqua di Parma Blu Mediterraneo - Fico di Amalfi Acqua di Parma,fruity
10,Acqua di Parma Blu Mediterraneo - Fico di Amalfi Acqua di Parma,citrus
11,Acqua di Parma Blu Mediterraneo - Fico di Amalfi Acqua di Parma,woody
12,Acqua di Parma Blu Mediterraneo - Mandorlo di Sicilia Acqua di Parma,almond
13,Acqua di Parma Blu Mediterraneo - Mandorlo di Sicilia Acqua di Parma,sweet
14,Acqua di Parma Blu Mediterraneo - Mandorlo di Sicilia Acqua di Parma,vanilla
15,Acqua di Parma Colonia Acqua di Parma,citrus
16,Acqua di Parma Colonia Acqua di Parma,aromatic
17,Acqua di Parma Colonia Acqua di Parma,fresh spicy
18,African Leather Memo Paris,warm spicy
19,African Leather Memo Paris,fresh spicy
20,African Leather Memo Paris,aromatic
21,Alexandria II Xerjoff,woody
22,Alexandria II Xerjoff,amber
23,Alexandria II Xerjoff,powdery
24,Amber Oud Gold Edition Al Haramain Perfumes,sweet
25,Amber Oud Gold Edition Al Haramain Perfumes,ozonic
26,Amber Oud Gold Edition Al Haramain Perfumes,fruity
27,Amber Oud Rouge Al Haramain Perfumes,musky
28,Amber Oud Rouge Al Haramain Perfumes,warm spicy
29,Amber Oud Rouge Al Haramain Perfumes,amber
30,Amber Oud Tobacco Edition Al Haramain Perfumes,sweet
31,Amber Oud Tobacco Edition Al Haramain Perfumes,warm spicy
32,Amber Oud Tobacco Edition Al Haramain Perfumes,vanilla
33,Ambre Nuit Dior,citrus
34,Ambre Nuit Dior,rose
35,Ambre Nuit Dior,amber
36,Ambre Sultan Serge Lutens,aromatic
37,Ambre Sultan Serge Lutens,amber
38,Ambre Sultan Serge Lutens,fresh spicy
39,Angels' Share By Kilian,woody
40,Angels' Share By Kilian,warm spicy
41,Angels' Share By Kilian,sweet
42,Angélique Noire Guerlain,vanilla
43,Angélique Noire Guerlain,musky
44,Angélique Noire Guerlain,powdery
45,Ani Nishane,woody
46,Ani Nishane,vanilla
47,Ani Nishane,warm spicy
48,Another 13 Le Labo,woody
49,Another 13 Le Labo,musky
50,Another 13 Le Labo,amber
51,Aoud Lemon Mint Mancera,citrus
52,Aoud Lemon Mint Mancera,almond
53,Aoud Lemon Mint Mancera,oud
54,Aqua Allegoria Coconut Fizz Guerlain,sweet
55,Aqua Allegoria Coconut Fizz Guerlain,vanilla
56,Aqua Allegoria Coconut Fizz Guerlain,coconut
57,Aqua Allegoria Herba Fresca Guerlain,aromatic
58,Aqua Allegoria Herba Fresca Guerlain,green
59,Aqua Allegoria Herba Fresca Guerlain,citrus
60,Arabians Tonka Montale,amber
61,Arabians Tonka Montale,sweet
62,Arabians Tonka Montale,vanilla
63,Armani Prive Rouge Malachite Giorgio Armani,tuberose
64,Armani Prive Rouge Malachite Giorgio Armani,white floral
65,Armani Prive Rouge Malachite Giorgio Armani,amber
66,Atomic Rose Initio Parfums Prives,vanilla
67,Atomic Rose Initio Parfums Prives,floral
68,Atomic Rose Initio Parfums Prives,rose
69,Autumn Vibes Maison Martin Margiela,fresh spicy
70,Autumn Vibes Maison Martin Margiela,powdery
71,Autumn Vibes Maison Martin Margiela,woody
72,Baccarat Rouge 540 Extrait de Parfum Maison Francis Kurkdjian,amber
73,Baccarat Rouge 540 Extrait de Parfum Maison Francis Kurkdjian,almond
74,Baccarat Rouge 540 Extrait de Parfum Maison Francis Kurkdjian,woody
75,Baccarat Rouge 540 Maison Francis Kurkdjian,warm spicy
76,Baccarat Rouge 540 Maison Francis Kurkdjian,amber
77,Baccarat Rouge 540 Maison Francis Kurkdjian,woody
78,Back to Black By Kilian,sweet
79,Back to Black By Kilian,tobacco
80,Back to Black By Kilian,honey
81,Bade'e Al Oud Oud for Glory Lattafa Perfumes,fresh spicy
82,Bade'e Al Oud Oud for Glory Lattafa Perfumes,warm spicy
83,Bade'e Al Oud Oud for Glory Lattafa Perfumes,oud
84,Bal d'Afrique Byredo,aromatic
85,Bal d'Afrique Byredo,citrus
86,Bal d'Afrique Byredo,woody
87,Baptême du Feu Serge Lutens,sweet
88,Baptême du Feu Serge Lutens,woody
89,Baptême du Feu Serge Lutens,citrus
90,Baraonda Nasomatto,woody
91,Baraonda Nasomatto,musky
92,Baraonda Nasomatto,whiskey
93,Bee Zoologist Perfumes,beeswax
94,Bee Zoologist Perfumes,honey
95,Bee Zoologist Perfumes,vanilla
96,Bergamote 22 Le Labo,woody
97,Bergamote 22 Le Labo,citrus
98,Bergamote 22 Le Labo,aromatic
99,Bibliothèque Byredo,leather
100,Bibliothèque Byredo,powdery
101,Bibliothèque Byredo,fruity
102,Bitter Peach Tom Ford,amber
103,Bitter Peach Tom Ford,warm spicy
104,Bitter Peach Tom Ford,woody
105,Black Afgano Nasomatto,smoky
106,Black Afgano Nasomatto,amber
107,Black Afgano Nasomatto,oud
108,Black Bvlgari,animalic
109,Black Bvlgari,vanilla
110,Black Bvlgari,leather
111,Black Orchid Parfum Tom Ford,woody
112,Black Orchid Parfum Tom Ford,earthy
113,Black Orchid Parfum Tom Ford,sweet
114,Black Phantom By Kilian,caramel
115,Black Phantom By Kilian,warm spicy
116,Black Phantom By Kilian,sweet
117,Black Saffron Byredo,fruity
118,Black Saffron Byredo,woody
119,Black Saffron Byredo,leather
120,Bubble Bath Maison Martin Margiela,soapy
121,Bubble Bath Maison Martin Margiela,coconut
122,Bubble Bath Maison Martin Margiela,musky
123,By the Fireplace Maison Martin Margiela,vanilla
124,By the Fireplace Maison Martin Margiela,balsamic
125,By the Fireplace Maison Martin Margiela,woody
126,CK One Calvin Klein,woody
127,CK One Calvin Klein,green
128,CK One Calvin Klein,citrus
129,CK be Calvin Klein,aromatic
130,CK be Calvin Klein,green
131,CK be Calvin Klein,woody
132,Carnal Flower Frederic Malle,tuberose
133,Carnal Flower Frederic Malle,white floral
134,Carnal Flower Frederic Malle,woody
135,Casablanca Swiss Arabian,caramel
136,Casablanca Swiss Arabian,woody
137,Casablanca Swiss Arabian,fruity
138,Cedrat Boise Mancera,woody
139,Cedrat Boise Mancera,citrus
140,Cedrat Boise Mancera,fruity
141,Chergui Serge Lutens,tobacco
142,Chergui Serge Lutens,amber
143,Chergui Serge Lutens,sweet
144,Choco Musk Al-Rehab,warm spicy
145,Choco Musk Al-Rehab,vanilla
146,Choco Musk Al-Rehab,chocolate
147,Chocolate Greedy Montale,vanilla
148,Chocolate Greedy Montale,warm spicy
149,Chocolate Greedy Montale,cacao
150,Club De Nuit Sillage Armaf,musky
151,Club De Nuit Sillage Armaf,citrus
152,Club De Nuit Sillage Armaf,woody
153,Clémentine California Atelier Cologne,citrus
154,Clémentine California Atelier Cologne,woody
155,Clémentine California Atelier Cologne,aromatic
156,Cocaïne Franck Boclet,sweet
157,Cocaïne Franck Boclet,tuberose
158,Cocaïne Franck Boclet,white floral
159,Coffee Break Maison Martin Margiela,coffee
160,Coffee Break Maison Martin Margiela,lavender
161,Coffee Break Maison Martin Margiela,lactonic
162,Comme des Garcons 2 Comme des Garcons,woody
163,Comme des Garcons 2 Comme des Garcons,amber
164,Comme des Garcons 2 Comme des Garcons,aromatic
165,Coromandel Eau de Parfum Chanel,amber
166,Coromandel Eau de Parfum Chanel,woody
167,Coromandel Eau de Parfum Chanel,warm spicy
168,Costa Azzurra Tom Ford,citrus
169,Costa Azzurra Tom Ford,woody
170,Costa Azzurra Tom Ford,aromatic
171,Cuir Beluga Guerlain,vanilla
172,Cuir Beluga Guerlain,powdery
173,Cuir Beluga Guerlain,leather
174,Datura Noir Serge Lutens,tuberose
175,Datura Noir Serge Lutens,vanilla
176,Datura Noir Serge Lutens,almond
177,Dear Polly Vilhelm Parfumerie,citrus
178,Dear Polly Vilhelm Parfumerie,green
179,Dear Polly Vilhelm Parfumerie,fresh
180,Dolce Amalfi Xerjoff,amber
181,Dolce Amalfi Xerjoff,warm spicy
182,Dolce Amalfi Xerjoff,sweet
183,Eau Duelle Diptyque,aromatic
184,Eau Duelle Diptyque,vanilla
185,Eau Duelle Diptyque,fresh spicy
186,Eau de Soleil Blanc Tom Ford,coconut
187,Eau de Soleil Blanc Tom Ford,citrus
188,Eau de Soleil Blanc Tom Ford,white floral
189,Ebony Wood Zara,soft spicy
190,Ebony Wood Zara,warm spicy
191,Ebony Wood Zara,woody
192,Escentric 01 Escentric Molecules,musky
193,Escentric 01 Escentric Molecules,woody
194,Escentric 01 Escentric Molecules,citrus
195,Escentric 02 Escentric Molecules,woody
196,Escentric 02 Escentric Molecules,amber
197,Escentric 02 Escentric Molecules,musky
198,Fan Your Flames Nishane,coconut
199,Fan Your Flames Nishane,tobacco
200,Fan Your Flames Nishane,sweet
201,Feminité du Bois Serge Lutens,fruity
202,Feminité du Bois Serge Lutens,warm spicy
203,Feminité du Bois Serge Lutens,woody
204,Fille en Aiguilles Serge Lutens,aromatic
205,Fille en Aiguilles Serge Lutens,conifer
206,Fille en Aiguilles Serge Lutens,woody
207,Five O'Clock Au Gingembre Serge Lutens,fresh spicy
208,Five O'Clock Au Gingembre Serge Lutens,woody
209,Five O'Clock Au Gingembre Serge Lutens,warm spicy
210,Fleur Narcotique Ex Nihilo,white floral
211,Fleur Narcotique Ex Nihilo,fresh
212,Fleur Narcotique Ex Nihilo,floral
213,Fleur de Peau Diptyque,powdery
214,Fleur de Peau Diptyque,iris
215,Fleur de Peau Diptyque,musky
216,Fucking Fabulous Tom Ford,vanilla
217,Fucking Fabulous Tom Ford,leather
218,Fucking Fabulous Tom Ford,aromatic
219,Fève Délicieuse (2018) Dior,vanilla
220,Fève Délicieuse (2018) Dior,amber
221,Fève Délicieuse (2018) Dior,sweet
222,Fève Délicieuse Dior,vanilla
223,Fève Délicieuse Dior,sweet
224,Fève Délicieuse Dior,amber
225,Ganymede Marc-Antoine Barrois,warm spicy
226,Ganymede Marc-Antoine Barrois,mineral
227,Ganymede Marc-Antoine Barrois,ozonic
228,Gentle Fluidity Gold Maison Francis Kurkdjian,vanilla
229,Gentle Fluidity Gold Maison Francis Kurkdjian,amber
230,Gentle Fluidity Gold Maison Francis Kurkdjian,powdery
231,Gentle Fluidity Silver Maison Francis Kurkdjian,fresh spicy
232,Gentle Fluidity Silver Maison Francis Kurkdjian,aromatic
233,Gentle Fluidity Silver Maison Francis Kurkdjian,woody
234,Grand Soir Maison Francis Kurkdjian,vanilla
235,Grand Soir Maison Francis Kurkdjian,
236,Grand Soir Maison Francis Kurkdjian,amber
237,Gris Charnel BDK Parfums,aromatic
238,Gris Charnel BDK Parfums,woody
239,Gris Charnel BDK Parfums,warm spicy
240,Gris Dior Dior,rose
241,Gris Dior Dior,earthy
242,Gris Dior Dior,woody
243,Gypsy Water Byredo,aromatic
244,Gypsy Water Byredo,woody
245,Gypsy Water Byredo,fresh spicy
246,Hacivat Nishane,citrus
247,Hacivat Nishane,mossy
248,Hacivat Nishane,woody
249,Halfeti Penhaligon's,warm spicy
250,Halfeti Penhaligon's,woody
251,Halfeti Penhaligon's,aromatic
252,Hermessence Ambre Narguile Hermès,warm spicy
253,Hermessence Ambre Narguile Hermès,sweet
254,Hermessence Ambre Narguile Hermès,vanilla
255,Hindu Kush Mancera,amber
256,Hindu Kush Mancera,warm spicy
257,Hindu Kush Mancera,woody
258,Holidays Mancera,sweet
259,Holidays Mancera,coconut
260,Holidays Mancera,vanilla
261,Honey Aoud Montale,warm spicy
262,Honey Aoud Montale,honey
263,Honey Aoud Montale,oud
264,Hundred Silent Ways Nishane,powdery
265,Hundred Silent Ways Nishane,white floral
266,Hundred Silent Ways Nishane,vanilla
267,I Don't Need A Prince By My Side To Be A Princess By Kilian,powdery
268,I Don't Need A Prince By My Side To Be A Princess By Kilian,sweet
269,I Don't Need A Prince By My Side To Be A Princess By Kilian,vanilla
270,Instant Crush Mancera,amber
271,Instant Crush Mancera,woody
272,Instant Crush Mancera,warm spicy
273,Intense Cafe Montale,rose
274,Intense Cafe Montale,coffee
275,Intense Cafe Montale,vanilla
276,Intense Tiare Montale,vanilla
277,Intense Tiare Montale,white floral
278,Intense Tiare Montale,sweet
279,Intoxicated By Kilian,fresh spicy
280,Intoxicated By Kilian,coffee
281,Intoxicated By Kilian,warm spicy
282,Italica (2021) Xerjoff,lactonic
283,Italica (2021) Xerjoff,sweet
284,Italica (2021) Xerjoff,almond
285,Italica Xerjoff,almond
286,Italica Xerjoff,lactonic
287,Italica Xerjoff,sweet
288,Jasmins Marzipane Lancome,white floral
289,Jasmins Marzipane Lancome,woody
290,Jasmins Marzipane Lancome,musky
291,Khaltat Night Attar Collection,cinnamon
292,Khaltat Night Attar Collection,warm spicy
293,Khaltat Night Attar Collection,cherry
294,Kirke Tiziana Terenzi,musky
295,Kirke Tiziana Terenzi,sweet
296,Kirke Tiziana Terenzi,fruity
297,L'Eau d'Hiver Frederic Malle,powdery
298,L'Eau d'Hiver Frederic Malle,musky
299,L'Eau d'Hiver Frederic Malle,iris
300,La Fille de Berlin Serge Lutens,rose
301,La Fille de Berlin Serge Lutens,fresh spicy
302,La Fille de Berlin Serge Lutens,floral
303,Laudano Nero Tiziana Terenzi,smoky
304,Laudano Nero Tiziana Terenzi,amber
305,Laudano Nero Tiziana Terenzi,woody
306,Layton Exclusif Parfums de Marly,oud
307,Layton Exclusif Parfums de Marly,powdery
308,Layton Exclusif Parfums de Marly,woody
309,Layton Parfums de Marly,warm spicy
310,Layton Parfums de Marly,vanilla
311,Layton Parfums de Marly,fresh spicy
312,Lazy Sunday Morning Maison Martin Margiela,rose
313,Lazy Sunday Morning Maison Martin Margiela,fresh
314,Lazy Sunday Morning Maison Martin Margiela,musky
315,Le Jardin de Monsieur Li Hermès,citrus
316,Le Jardin de Monsieur Li Hermès,aromatic
317,Le Jardin de Monsieur Li Hermès,white floral
318,Le Lion de Chanel Chanel,amber
319,Le Lion de Chanel Chanel,woody
320,Le Lion de Chanel Chanel,musky
321,Les Absolus d'Orient Santal Royal Guerlain,rose
322,Les Absolus d'Orient Santal Royal Guerlain,oud
323,Les Absolus d'Orient Santal Royal Guerlain,woody
324,Lost Cherry Tom Ford,sweet
325,Lost Cherry Tom Ford,almond
326,Lost Cherry Tom Ford,cherry
327,Lune Feline Atelier des Ors,amber
328,Lune Feline Atelier des Ors,warm spicy
329,Lune Feline Atelier des Ors,balsamic
330,L’Ambre des Merveilles Hermès,vanilla
331,L’Ambre des Merveilles Hermès,amber
